doc_name,stream,group,is_active,is_expired,is_rfc,is_replaced,is_withdrawn_submitter,is_withdrawn_ietf,rfc_num,revisions
name,became_rfc,expired,replaced,revisions
draft-ietf-rreq-iprouters,False,True,False,4
draft-ietf-noctool2-debug-tcpip,True,False,False,0
draft-ietf-ospf-version2,True,False,False,10
draft-ietf-ipae-ipv7-criteria,False,True,False,0
draft-ietf-ipae-new-ip,False,True,False,0
draft-ietf-pip-ipv7-analysis,False,True,False,0
draft-ietf-wnils-whois,True,False,False,6
draft-ietf-x400ops-postmaster,True,False,False,5
draft-ietf-pem-mime,True,False,False,7
draft-ietf-trunkmib-ds1e1mib,True,False,False,2
draft-ietf-trunkmib-ds3e3mib,True,False,False,2
draft-ietf-snmpv2-conf,True,False,False,3
draft-ietf-smtpext-8bit-mime,True,False,False,1
draft-ietf-smtpext-transition,True,False,False,3
draft-ietf-pppext-cipx,True,False,False,4
draft-ietf-x400ops-admd,False,True,False,3
draft-ietf-avt-rtp,True,False,False,8
draft-ietf-avt-encodings,False,True,False,2
draft-ietf-avt-profile,True,False,False,7
draft-ietf-appleip-mib2,True,False,False,1
draft-ietf-snmpsec-tmv2,False,True,False,0
draft-ietf-snmpsec-mibv2,False,True,False,0
draft-ietf-snmpsec-partyv2,True,False,False,2
draft-ietf-snmpsec-adminv2,True,False,False,3
draft-ietf-snmpsec-secv2,True,False,False,3
draft-ietf-x400ops-dnsx400maps,True,False,False,5
draft-ietf-pppext-lcpext,True,False,False,4
draft-ietf-isis-tcpip,False,True,False,1
draft-ietf-iesg-wgguidelines,True,False,False,1
draft-ietf-chassis-mib,False,True,False,2
draft-ietf-snmpsec-protov2,False,True,False,1
draft-ietf-iplpdn-framerelay,True,False,False,4
draft-ietf-snmpsec-m2mv2,False,True,False,1
draft-ietf-pip-dns,False,True,False,1
draft-ietf-x400ops-dnsx400rout,False,True,False,2
draft-ietf-iesg-mtuexperience,True,False,False,0
draft-ietf-822ext-mime2,True,False,False,4
draft-ietf-iplpdn-multi-isdn,False,True,False,2
draft-ietf-iplpdn-para-negotiation,False,True,False,2
draft-ietf-pip-architecture,True,False,False,1
draft-ietf-x400ops-evaluation-admd,False,True,False,0
draft-ietf-atm-address-resolve,False,True,False,0
draft-ietf-hubmib-mau,True,False,False,1
draft-ietf-fddimib-objects,True,False,False,2
draft-ietf-x400ops-tbl-dist,False,True,False,0
draft-ietf-pppext-isdn,True,False,False,3
draft-ietf-pppext-frame-relay,True,False,False,3
draft-ietf-pppext-sonet,True,False,False,1
draft-ietf-pppext-x25,True,False,False,2
draft-ietf-cipso-ipsec-option,False,True,False,0
draft-ietf-avt-h261,True,False,False,3
draft-ietf-softwire-map-mib,True,False,False,13
draft-ietf-sip-rip,False,True,False,1
draft-ietf-svrloc-resloc,False,True,False,0
draft-ietf-ppp-requirements,False,True,False,2
draft-ietf-atm-address-translation,False,True,False,0
draft-ietf-pip-provider-addr,False,True,False,0
draft-ietf-ipidrp-sip,False,True,False,1
draft-ietf-822ext-mime-part2,True,False,False,1
draft-ietf-dns-idpr,False,True,False,2
draft-ietf-iiir-transponders,True,False,False,2
draft-ietf-822ext-text-enriched,True,False,False,2
draft-ietf-ospf-extattr,False,True,False,0
draft-ietf-bgpdepl-minutes-93feb,False,True,False,0
draft-ietf-iplpdn-frmib-dte,True,False,False,9
draft-ietf-rolc-nhrp,True,False,False,14
draft-ietf-core-links-json,False,True,False,10
draft-ietf-nir-status-report,True,False,False,3
draft-ietf-security-randomness,True,False,False,1
draft-ietf-stox-core,True,False,False,11
draft-ietf-iiir-vision,True,False,False,2
draft-ietf-iesg-cidr,True,False,False,0
draft-ietf-sipp-bsd-api,False,True,False,2
draft-ietf-telnet-envmnt-option,True,False,False,3
draft-ietf-822ext-md5,True,False,False,2
draft-ietf-cat-ftpsec,True,False,False,9
draft-ietf-clue-data-model-schema,True,False,False,17
draft-ietf-telnet-interoperability,True,False,False,0
draft-ietf-pip-vector,False,True,False,0
draft-ietf-uswg-fyi,True,False,False,0
draft-ietf-mospf-analysis,True,False,False,2
draft-ietf-sip-64bit-plan,False,True,False,0
draft-ietf-sipp-discovery,False,True,False,4
draft-ietf-uri-url,True,False,False,7
draft-ietf-tuba-sysids,True,False,False,3
draft-ietf-ospf-guidelines-frn,True,False,False,0
draft-ietf-bridge-sr-objects,True,False,False,3
draft-ietf-rmonmib-trmib,True,False,False,0
draft-ietf-frnetmib-fr,True,False,False,6
draft-ietf-uri-resource-names,False,True,False,2
draft-ietf-madman-networkmib,True,False,False,7
draft-ietf-ifmib-evolution,True,False,False,7
draft-ietf-tpix-adplan,False,True,False,1
draft-ietf-hubmib-objects,True,False,False,0
draft-ietf-pip-address-conv,False,True,False,0
draft-ietf-isn-faq,True,False,False,2
draft-ietf-dns-server-mib,True,False,False,2
draft-ietf-dns-resolver-mib,True,False,False,2
draft-ietf-sip-dnss,False,True,False,0
draft-ietf-pip-host-operation,False,True,False,0
draft-ietf-ipatm-mtu,True,False,False,7
draft-ietf-pip-control-msg,False,True,False,0
draft-ietf-atm-classic-ip,True,False,False,6
draft-ietf-ids-pilots,False,True,False,0
draft-ietf-iafa-howftp,True,False,False,1
draft-ietf-tpix-transit,False,True,False,1
draft-ietf-frnetmib-virtual-sma,False,True,False,2
draft-ietf-madman-mtamib,True,False,False,8
draft-ietf-mailext-lang-char,False,True,False,0
draft-ietf-mhsds-long-bud-intro,True,False,False,2
draft-ietf-sdr-pl,False,True,False,0
draft-ietf-decnetiv-mib-implement,False,True,False,0
draft-ietf-telnet-transfer-option,False,True,False,0
draft-ietf-tcplw-extensions,False,True,False,0
draft-ietf-sdr-route-setup,False,True,False,0
draft-ietf-iiir-html,False,True,False,1
draft-ietf-decnetiv-mibext,True,False,False,2
draft-ietf-isis-atipx,False,True,False,0
draft-ietf-madman-dsa-mib,True,False,False,8
draft-ietf-nisi-nics,False,True,False,0
draft-ietf-tpix-tcpopt,False,True,False,0
draft-ietf-pppext-hdlc-framing,True,False,False,2
draft-ietf-dns-common-errors,True,False,False,1
draft-ietf-wnils-whois-lookup,True,False,False,2
draft-ietf-httpauth-scram-auth,True,False,False,15
draft-ietf-pppext-lcp-main,True,False,False,2
draft-ietf-x400ops-tbl-dist-part1,False,True,False,1
draft-ietf-x400ops-tbl-dist-part2,False,True,False,1
draft-ietf-pip-ipit-transition,False,True,False,0
draft-ietf-appleip-kip-gateway,False,True,False,0
draft-ietf-isis-nbma,False,True,False,0
draft-ietf-iplpdn-simple-multi,False,True,False,1
draft-ietf-pppext-for-bridging,True,False,False,4
draft-ietf-tn3270e-enhancements,True,False,False,4
draft-ietf-tn3270e-luname-print,True,False,False,2
draft-ietf-stox-media,False,True,False,7
draft-ietf-upsmib,True,False,False,5
draft-ietf-snanau-snamib,True,False,False,4
draft-ietf-isis-multilevel-routing,False,True,False,0
draft-ietf-thinosi-cookbook,True,False,False,3
draft-ietf-atommib-atm,True,False,False,6
draft-ietf-dns-config-errors,True,False,False,1
draft-ietf-imap-imap2bis,False,True,False,2
draft-ietf-iiir-publishing,False,True,False,2
draft-ietf-iafa-templates,False,True,False,0
draft-ietf-tn3270e-current-pract,True,False,False,4
draft-ietf-osids-ipinfo-x500-dir,True,False,False,0
draft-ietf-osids-chart-network-dir,True,False,False,0
draft-ietf-pppext-multilink,True,False,False,12
draft-ietf-sdr-speakers-attribute,False,True,False,0
draft-ietf-pppext-requirements,True,False,False,1
draft-ietf-notary-smtp-drpt,True,False,False,5
draft-ietf-notary-mime-delivery,True,False,False,6
draft-ietf-pppext-netbios-fcp,True,False,False,7
draft-ietf-ripv2-protocol,True,False,False,1
draft-ietf-sip-overview,False,True,False,0
draft-ietf-pppext-reliable,True,False,False,0
draft-ietf-saag-cryptography-faq,False,True,False,0
draft-ietf-ids-catalog,True,False,False,2
draft-ietf-dns-ixfr,False,True,False,1
draft-ietf-snadlc-sdlc-mib,True,False,False,5
draft-ietf-ifmib-conntable,False,True,False,2
draft-ietf-bgp-idrp-usage,False,True,False,0
draft-ietf-mailext-smtp-binary,True,False,False,6
draft-ietf-svrloc-protocol,True,False,False,16
draft-ietf-smtpext-pipeline,False,True,False,2
draft-ietf-pppext-stacker,True,False,False,10
draft-ietf-pppext-compression,True,False,False,4
draft-ietf-ripv2-mibext2,True,False,False,2
draft-ietf-rsvp-spec,True,False,False,15
draft-ietf-pppext-gandalf,True,False,False,0
draft-ietf-modemmgt-mdmmib,True,False,False,3
draft-ietf-pem-mime-alternative,False,True,False,0
draft-ietf-iiir-wais,True,False,False,0
draft-ietf-osids-cldap,True,False,False,1
draft-ietf-sipp-dns,False,True,False,1
draft-ietf-osinsap-allocation,True,False,False,1
draft-ietf-idmr-igmp-sparse,False,True,False,0
draft-ietf-idmr-igmp-dense,False,True,False,0
draft-ietf-pppext-hpppc,False,True,False,0
draft-ietf-bgp-bgp4-implement,True,False,False,1
draft-ietf-iiir-http,False,True,False,0
draft-ietf-sipp-ipae-transition,False,True,False,0
draft-ietf-thinosi-profile,False,True,False,0
draft-ietf-ripv2-protocol-analysis,True,False,False,1
draft-ietf-pppext-predictor,True,False,False,0
draft-ietf-edi-mime,True,False,False,1
draft-ietf-mailext-lang-tag,True,False,False,1
draft-ietf-catnip-base,False,True,False,3
draft-ietf-stox-groupchat,True,False,False,11
draft-ietf-rreq-iprouters-require,True,False,False,0
draft-ietf-pppext-bsd-compress,True,False,False,5
draft-ietf-ipatm-framework-doc,True,False,False,6
draft-ietf-sip-unicast-addr,False,True,False,0
draft-ietf-sipp-routing-addr,False,True,False,2
draft-ietf-ipsec-arch,True,False,False,1
draft-ietf-ipngwg-auth,False,True,False,0
draft-ietf-ipngwg-esp,False,True,False,0
draft-ietf-rmonmib-rmonmib,True,False,False,2
draft-ietf-ifmib-sipmib,True,False,False,1
draft-ietf-imap-imap4,True,False,False,6
draft-ietf-stox-chat,True,False,False,11
draft-ietf-sipp-dhcpopt,False,True,False,1
draft-ietf-pppext-dataencap,False,True,False,3
draft-ietf-rdbmsmib-mib,True,False,False,5
draft-ietf-payload-rtp-h265,True,False,False,15
draft-ietf-uswg-fyi4,True,False,False,1
draft-ietf-ospf-cidr-route-mib,True,False,False,5
draft-ietf-sip-ospf,False,True,False,0
draft-ietf-sipp-spec,False,True,False,0
draft-ietf-dnssec-secext,True,False,False,9
draft-ietf-isn-k12-guide,True,False,False,1
draft-ietf-charmib-mib,True,False,False,2
draft-ietf-charmib-ppl-mib,True,False,False,2
draft-ietf-charmib-rs232-mib,True,False,False,3
